variable,count,mean,std,min,5%,25%,50%,75%,95%,max
kwhTotal,3332.0,5.918172268907562,2.8082169161781576,0.02,1.63,4.5,6.28,6.84,9.642499999999991,23.68
chargeTimeHrs,3332.0,2.8710366646617644,1.1646839255752077,0.056666667,1.012222222,2.15229166675,2.828888889,3.56256944425,4.612638889099999,11.58694444
dollars,3332.0,0.11945378151260504,0.49481466313187605,0.0,0.0,0.0,0.0,0.0,0.58,7.5
startTime,3332.0,13.72689075630252,3.202533455069941,0.0,9.0,11.0,13.0,17.0,19.0,23.0
distance,2327.0,18.651970973184355,11.427552328844499,0.8569106,1.3751582,5.135871,21.0238262,27.2850526,33.05220385999999,43.0592916
