best_model,comparator,delta_auc,ci_low,ci_high,bootstrap_p_two_sided
Logistic regression,Gradient boosting,0.03958926259856357,-0.04023445606782167,0.12177823630856235,0.334
Logistic regression,Dummy,0.08736632486726571,-0.03613713097823287,0.20443679382884103,0.162
Logistic regression,Random forest,0.04968025326951053,-0.01862426540346228,0.11887543397460876,0.165
