segment,users,sessions_mean,mean_kwh,mean_duration,fee_share,total_kwh
Activity tier 1,24,11.25,6.341775282021993,2.843381079499963,0.021018404899983845,1732.6100000000001
Activity tier 2,26,20.884615384615383,4.8415609074381125,2.5155563915383263,0.09142437543498522,2735.03
Activity tier 3,12,32.25,6.367920319761226,4.015006652271586,0.38507514901861334,2317.12
Activity tier 4,4,51.75,12.137984461072696,3.009076747412156,0.12125020948550361,2472.26
Activity tier 5,18,106.94444444444444,5.516570479267295,2.7651225327196913,0.07858018393735408,10462.33
