policy,scenarios,min_voltage_mean,min_voltage_worst,voltage_violation_hours_mean,max_line_loading_mean,max_line_loading_worst,line_overload_hours_mean,losses_mwh_mean,transformer_overload_hours_mean
No-EV reference,1,0.9539157880119341,0.9539157880119341,0.0,28.183652358789846,28.183652358789846,0.0,1.3764797530160229,0.0
Flat 0.30,100,0.8821205230268254,0.8679805507468703,13.81,38.931955543053505,41.09006693545709,0.0,2.041007568339782,2.29
TOU rule,100,0.8815457876387454,0.8679805507468703,13.74,39.01880952856005,41.09006693545709,0.0,2.0646980284676935,2.53
Best constant,100,0.8822861886365149,0.8679805507468703,13.82,38.90590809943528,41.09006693545709,0.0,2.0475243195070663,2.44
Tabular Q-learning,100,0.8822365043206141,0.8679805507468703,13.77,38.91346909883874,41.09006693545709,0.0,2.0465171124363284,2.44
