estimate,b,ci_low,ci_high,excess_sessions
Point estimate,1.839225044639669,,,110.94411055789732
Session bootstrap,1.8482734231729592,0.9754817624653088,2.7239376578135563,
User-cluster bootstrap,1.8717006564342056,0.41919029116515083,3.4947587627972228,
