policy,seeds,reward_mean,reward_sd,revenue_mean,peak_load,service_ratio,runtime_mean_s,parameters
Matched tabular Q-learning,5,1.6790883865095254,0.12684678040103747,2.720921559173026,0.85,0.9997949060418125,,480.0
Q-EVCS,5,1.149493550911202,0.259962647358629,2.571730657738685,0.8498600918922563,0.9936703827747142,45.360901069641116,40.0
