model,runs,roc_auc_mean,roc_auc_sd,runtime_mean_s,parameters,ci95_low,ci95_high
Matched compact MLP,25,0.56397056,0.09681042276449371,0.2762284564971924,19.0,0.5260208742763185,0.6019202457236815
Matched logistic,25,0.5767270400000001,0.08738269864818782,0.005902061462402344,10.0,0.5424730221299104,0.6109810578700897
VQC,25,0.59076352,0.06266801987531864,59.726131229400636,25.0,0.5661976562088751,0.6153293837911249
