model,fold,seed,n_train,n_test,qubits,layers,trainable_parameters,steps,roc_auc,runtime_seconds,evaluation
VQC,5,1,250,250,4,2,25,25.0,0.628288,59.113450050354004,analytic
Matched logistic,5,2,250,250,0,0,10,,0.635264,0.007635593414306641,analytic
Matched compact MLP,5,2,250,250,0,0,19,,0.48479999999999995,0.486663818359375,analytic
VQC,5,2,250,250,4,2,25,25.0,0.6439680000000001,60.97690296173096,analytic
Matched logistic,5,3,250,250,0,0,10,,0.54592,0.010396718978881836,analytic
Matched compact MLP,5,3,250,250,0,0,19,,0.524448,0.17550325393676758,analytic
VQC,5,3,250,250,4,2,25,25.0,0.671104,58.94245791435242,analytic
Matched logistic,5,4,250,250,0,0,10,,0.5462400000000001,0.008450508117675781,analytic
Matched compact MLP,5,4,250,250,0,0,19,,0.551968,0.39414238929748535,analytic
VQC,5,4,250,250,4,2,25,25.0,0.618816,59.115236043930054,analytic
