model,train_sessions,test_sessions,roc_auc,pr_auc,balanced_accuracy,f1,brier
Random forest,2537,580,0.8522835451473179,0.8655958736741226,0.7818077966585749,0.762962962962963,0.16738395208032109
Gradient boosting,2537,580,0.8286329668237422,0.8404719069810181,0.7364700842496072,0.72,0.17356396252682113
RBF-SVM,2537,580,0.8216657146937028,0.8519770581272068,0.7553072492741206,0.7414104882459313,0.16976732076185577
XGBoost,2537,580,0.815769432148127,0.8244909025146652,0.7304845542386595,0.7231040564373897,0.17829254317308518
Logistic regression,2537,580,0.8030010947689086,0.7894649990294512,0.7115521919177495,0.7031802120141343,0.18500315739489734
Dummy,2537,580,0.5,0.5137931034482759,0.5,0.0,0.25039725573265903
