elasticity,seed,policy,reward,revenue,peak_load,load_variance,service_ratio,final_backlog,action,selected_price
3.0,5,Best constant,1.203636741283284,1.5954550825902694,0.85,0.10938666849430627,0.9999999998746439,0.0,1.0,0.2
3.0,5,Tabular Q-learning,1.1271214466672876,2.1449588190065327,0.85,0.10833868008524887,0.9999999998794038,6.938893903907228e-18,,
3.0,6,Flat 0.30,0.7593064248930268,2.527999925487813,0.85,0.10097436824319124,0.9926878798743607,0.06207066426998098,,
3.0,6,TOU rule,-14.841631242489324,2.6009518317495846,0.85,0.09775908235678939,0.9999999998821968,0.0,,
3.0,6,Best constant,1.4206679229211556,1.697747416512539,0.85,0.1112358910792921,0.9999999998821968,0.0,1.0,0.2
3.0,6,Tabular Q-learning,1.1530363187259294,2.1785273736817348,0.85,0.10977107157433179,0.9999999998804949,0.0,,
3.0,7,Flat 0.30,0.7099602984383877,2.315317233870527,0.85,0.09993218780820762,0.9932521034465596,0.05243221007827699,,
3.0,7,TOU rule,-11.323142467314494,2.4267460136283376,0.85,0.09935128804119304,0.9999999998713022,0.0,,
3.0,7,Best constant,1.37175160903185,1.5540312645960068,0.85,0.11182347853940283,0.9999999998713026,0.0,1.0,0.2
3.0,7,Tabular Q-learning,1.1287756196900929,2.0927111474748497,0.85,0.10742937096109094,0.9999999998757216,0.0,,
3.0,8,Flat 0.30,0.6606006509282044,2.454859133683241,0.85,0.10896645607193274,0.9929551861365699,0.058055743103377216,,
3.0,8,TOU rule,-14.326015312246847,2.576463511206205,0.85,0.10686907871531905,0.9999999998786541,0.0,,
3.0,8,Best constant,1.1844036693157058,1.648183904409503,0.85,0.11879652720921802,0.9999999998786543,0.0,1.0,0.2
3.0,8,Tabular Q-learning,1.1865510572396736,2.0944820588812165,0.85,0.10615308783379225,0.9999999998762593,0.0,,
3.0,9,Flat 0.30,0.5846965766570031,2.471059943054657,0.85,0.1104963378936639,0.9900068183954194,0.0831433683449131,,
3.0,9,TOU rule,-14.87782857476766,2.562917793898482,0.85,0.10479601583210567,0.9999999998798076,0.0,,
3.0,9,Best constant,1.058235675999813,1.6640019690387542,0.85,0.12131341154098356,0.9999999998798078,1.3877787807814457e-17,1.0,0.2
3.0,9,Tabular Q-learning,1.0565307765125427,2.1623150733064738,0.85,0.10813259911492883,0.9999999998757454,0.0,,
