model,roc_auc_mean,roc_auc_sd,pr_auc_mean,balanced_accuracy,f1,brier
Logistic regression,0.5351832922578093,0.0851527557592134,0.5415806234241219,0.5315479886747976,0.5253102331148292,0.2576095735101545
Gradient boosting,0.5083122744317154,0.07407880837752982,0.5097369372164399,0.5145290686815222,0.47155660885609796,0.2863714240132663
Dummy,0.5,0.0,0.49877403640522083,0.5,0.2506930427878591,0.2511743006536694
Random forest,0.4900966082106831,0.08272801893428998,0.4990354152051134,0.4918102025205989,0.42341495719168315,0.27707741586540485
XGBoost,0.4842463778503469,0.057096522466890225,0.49050150886802124,0.4937610080827734,0.44554686653801967,0.3008015996356373
RBF-SVM,0.46524484288463547,0.09503185289689954,0.4979509206692163,0.4675032575603639,0.44130748896521393,0.2919670167307073
