comparison,pairs,mean_delta_auc,ci95_low,ci95_high,paired_t_p,wilcoxon_p
VQC - Matched logistic,25,0.01403648,-0.022809438366850624,0.05088239836685063,0.43941931055702554,0.4418373703956604
VQC - Matched compact MLP,25,0.026792960000000008,-0.011550828817704698,0.06513674881770472,0.1621804127458012,0.25210392475128174
