model,MAE_kW,RMSE_kW,nRMSE_pct,R2,PI90_coverage,PI90_mean_width_kW
XGBoost rolling-origin,1.3677447220117216,3.029894463140555,97.12531311876631,0.7369936888356341,0.8003194888178914,3.4561660553132234
Seasonal naive (168 h),1.5439200484856137,3.2444779615857158,104.00393207072936,0.6984211893508634,,
